Treatment,Gender,Scores
A,Male,135
A,Female,82
A,Male,64
A,Female,190
A,Male,184
A,Female,147
A,Male,167
A,Female,40
A,Male,116
A,Female,131
A,Male,86
A,Female,60
A,Male,194
A,Female,180
A,Male,151
A,Female,163
A,Male,44
A,Female,112
B,Female,153
B,Male,59
B,Female,73
B,Male,62
B,Female,42
B,Male,95
B,Female,90
B,Male,86
B,Female,43
B,Male,157
B,Female,55
B,Male,77
B,Female,58
B,Male,46
B,Female,91
B,Male,94
B,Female,82
B,Male,47
Control,Male,45
Control,Female,58
Control,Male,104
Control,Female,64
Control,Male,174
Control,Female,24
Control,Male,100
Control,Female,160
Control,Male,42
Control,Female,41
Control,Male,62
Control,Female,100
Control,Male,68
Control,Female,170
Control,Male,28
Control,Female,96
Control,Male,164
Control,Female,38
